Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Payment API,25000,522,247,534,1358,8381,1,15536,16.200%,388.97792,256.13,103.77
TOTAL,25000,522,247,534,1358,8381,1,15536,16.200%,388.97792,256.13,103.77
